block,time_range,period,soc_start,soc_target,soc_predicted,soc_change,baseline_kw,change_rate,duration_hours,scenario
1,00:00-02:59,Đêm khuya,20.0,27.5,27.5,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
2,03:00-05:59,Sáng sớm,27.5,35.0,35.0,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
3,06:00-08:59,Buổi sáng,35.0,42.5,42.5,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
4,09:00-11:59,Trưa,42.5,50.0,50.0,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
5,12:00-14:59,Chiều,50.0,57.5,57.5,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
6,15:00-17:59,Chiều muộn,57.5,65.0,65.0,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
7,18:00-20:59,Tối,65.0,72.5,72.5,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
8,21:00-23:59,Đêm,72.5,80.0,80.0,7.5,392.74270948689554,2.5,3.0,Scenario 1: Sạc từ 20% lên 80%
1,00:00-02:59,Đêm khuya,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
2,03:00-05:59,Sáng sớm,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
3,06:00-08:59,Buổi sáng,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
4,09:00-11:59,Trưa,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
5,12:00-14:59,Chiều,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
6,15:00-17:59,Chiều muộn,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
7,18:00-20:59,Tối,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
8,21:00-23:59,Đêm,50.0,50.0,50.0,0.0,208.17275747508307,0.0,3.0,Scenario 2: Duy trì quanh 50%
1,00:00-02:59,Đêm khuya,15.0,20.0,20.0,5.0,331.21939214962475,1.666666666666667,3.0,Scenario 3: Sạc mạnh buổi sáng
2,03:00-05:59,Sáng sớm,20.0,20.0,20.0,0.0,208.17275747508307,0.0,3.0,Scenario 3: Sạc mạnh buổi sáng
3,06:00-08:59,Buổi sáng,20.0,57.0,57.0,37.0,1118.7178540666912,12.333333333333332,3.0,Scenario 3: Sạc mạnh buổi sáng
4,09:00-11:59,Trưa,57.0,60.6,60.6,3.6000000000000014,296.7663344407531,1.2000000000000002,3.0,Scenario 3: Sạc mạnh buổi sáng
5,12:00-14:59,Chiều,60.6,64.2,64.2,3.6000000000000014,296.7663344407531,1.2000000000000002,3.0,Scenario 3: Sạc mạnh buổi sáng
6,15:00-17:59,Chiều muộn,64.2,67.8,67.8,3.5999999999999943,296.7663344407529,1.1999999999999984,3.0,Scenario 3: Sạc mạnh buổi sáng
7,18:00-20:59,Tối,67.8,71.4,71.4,3.6000000000000085,296.76633444075327,1.2000000000000028,3.0,Scenario 3: Sạc mạnh buổi sáng
8,21:00-23:59,Đêm,71.4,75.0,75.0,3.5999999999999943,296.7663344407529,1.1999999999999984,3.0,Scenario 3: Sạc mạnh buổi sáng
1,00:00-02:59,Đêm khuya,30.0,35.0,35.0,5.0,331.21939214962475,1.666666666666667,3.0,Scenario 4: Sạc buổi tối
2,03:00-05:59,Sáng sớm,35.0,35.0,35.0,0.0,208.17275747508307,0.0,3.0,Scenario 4: Sạc buổi tối
3,06:00-08:59,Buổi sáng,35.0,35.0,35.0,0.0,208.17275747508307,0.0,3.0,Scenario 4: Sạc buổi tối
4,09:00-11:59,Trưa,35.0,35.0,35.0,0.0,208.17275747508307,0.0,3.0,Scenario 4: Sạc buổi tối
5,12:00-14:59,Chiều,35.0,35.0,35.0,0.0,208.17275747508307,0.0,3.0,Scenario 4: Sạc buổi tối
6,15:00-17:59,Chiều muộn,35.0,35.0,35.0,0.0,208.17275747508307,0.0,3.0,Scenario 4: Sạc buổi tối
7,18:00-20:59,Tối,35.0,46.666666666666664,46.666666666666664,11.666666666666664,495.28157171568023,3.8888888888888884,3.0,Scenario 4: Sạc buổi tối
8,21:00-23:59,Đêm,46.666666666666664,63.33333333333333,63.33333333333333,16.666666666666664,618.3282063902218,5.5555555555555545,3.0,Scenario 4: Sạc buổi tối
