block,time_range,period,action,soc_start,soc_target,soc_predicted,soc_change,baseline_kw,change_rate,duration_hours,day
1,00:00-02:59,Đêm khuya,maintain,15.0,17.0,17.0,2.0,257.3914113448997,0.6666666666666665,3.0,1
2,03:00-05:59,Sáng sớm,maintain,17.0,17.0,17.0,0.0,208.17275747508307,0.0,3.0,1
3,06:00-08:59,Buổi sáng,charge_heavy,17.0,85.0,85.0,68.0,1881.6069890488498,22.666666666666668,3.0,1
4,09:00-11:59,Trưa,discharge,85.0,75.0,76.5409,-8.459100000000007,0.0,-2.8197,3.0,1
5,12:00-14:59,Chiều,charge_medium,76.5409,85.0,85.0,8.459100000000007,416.34551495016626,2.819700000000002,3.0,1
6,15:00-17:59,Chiều muộn,discharge,85.0,65.0,76.5409,-8.459100000000007,0.0,-2.8197,3.0,1
7,18:00-20:59,Tối,discharge,76.5409,40.0,68.08179999999999,-8.459100000000007,0.0,-2.8197,3.0,1
8,21:00-23:59,Đêm,discharge,68.08179999999999,15.0,59.62269999999999,-8.4591,0.0,-2.8197,3.0,1
1,00:00-02:59,Đêm khuya,maintain,59.62269999999999,61.62269999999999,61.62269999999999,2.0,257.3914113448997,0.6666666666666665,3.0,2
2,03:00-05:59,Sáng sớm,maintain,61.62269999999999,61.62269999999999,61.62269999999999,0.0,208.17275747508307,0.0,3.0,2
3,06:00-08:59,Buổi sáng,charge_heavy,61.62269999999999,85.0,85.0,23.377300000000012,783.4723760305159,7.792433333333338,3.0,2
4,09:00-11:59,Trưa,discharge,85.0,75.0,76.5409,-8.459100000000007,0.0,-2.8197,3.0,2
5,12:00-14:59,Chiều,charge_medium,76.5409,85.0,85.0,8.459100000000007,416.34551495016626,2.819700000000002,3.0,2
6,15:00-17:59,Chiều muộn,discharge,85.0,65.0,76.5409,-8.459100000000007,0.0,-2.8197,3.0,2
7,18:00-20:59,Tối,discharge,76.5409,40.0,68.08179999999999,-8.459100000000007,0.0,-2.8197,3.0,2
8,21:00-23:59,Đêm,discharge,68.08179999999999,59.62269999999999,59.62269999999999,-8.4591,3.278620966039591e-14,-2.8196999999999997,3.0,2
1,00:00-02:59,Đêm khuya,maintain,59.62269999999999,61.62269999999999,61.62269999999999,2.0,257.3914113448997,0.6666666666666665,3.0,3
2,03:00-05:59,Sáng sớm,maintain,61.62269999999999,61.62269999999999,61.62269999999999,0.0,208.17275747508307,0.0,3.0,3
3,06:00-08:59,Buổi sáng,charge_heavy,61.62269999999999,85.0,85.0,23.377300000000012,783.4723760305159,7.792433333333338,3.0,3
4,09:00-11:59,Trưa,discharge,85.0,75.0,76.5409,-8.459100000000007,0.0,-2.8197,3.0,3
5,12:00-14:59,Chiều,charge_medium,76.5409,85.0,85.0,8.459100000000007,416.34551495016626,2.819700000000002,3.0,3
6,15:00-17:59,Chiều muộn,discharge,85.0,65.0,76.5409,-8.459100000000007,0.0,-2.8197,3.0,3
7,18:00-20:59,Tối,discharge,76.5409,40.0,68.08179999999999,-8.459100000000007,0.0,-2.8197,3.0,3
8,21:00-23:59,Đêm,discharge,68.08179999999999,59.62269999999999,59.62269999999999,-8.4591,3.278620966039591e-14,-2.8196999999999997,3.0,3
