block,start_hour,end_hour,duration_hours,soc_start,optimal_baseline_kw,soc_end,soc_change,scenario
1,6,9,3,5.0,2365.0,90.0,85.0,SOC 5%
2,9,12,3,90.0,0.0,84.1,-5.9,SOC 5%
3,12,15,3,84.1,305.0,90.0,5.9,SOC 5%
4,15,18,3,90.0,0.0,84.1,-5.9,SOC 5%
5,18,21,3,84.1,305.0,90.0,5.9,SOC 5%
6,21,0,3,90.0,0.0,84.1,-5.9,SOC 5%
7,0,3,3,84.1,305.0,90.0,5.9,SOC 5%
8,3,6,3,90.0,0.0,84.1,-5.9,SOC 5%
1,6,9,3,30.0,1714.0,90.0,60.0,SOC 30%
2,9,12,3,90.0,0.0,84.1,-5.9,SOC 30%
3,12,15,3,84.1,305.0,90.0,5.9,SOC 30%
4,15,18,3,90.0,0.0,84.1,-5.9,SOC 30%
5,18,21,3,84.1,305.0,90.0,5.9,SOC 30%
6,21,0,3,90.0,0.0,84.1,-5.9,SOC 30%
7,0,3,3,84.1,305.0,90.0,5.9,SOC 30%
8,3,6,3,90.0,0.0,84.1,-5.9,SOC 30%
1,6,9,3,70.0,673.0,90.0,20.0,SOC 70%
2,9,12,3,90.0,0.0,84.1,-5.9,SOC 70%
3,12,15,3,84.1,305.0,90.0,5.9,SOC 70%
4,15,18,3,90.0,0.0,84.1,-5.9,SOC 70%
5,18,21,3,84.1,305.0,90.0,5.9,SOC 70%
6,21,0,3,90.0,0.0,84.1,-5.9,SOC 70%
7,0,3,3,84.1,305.0,90.0,5.9,SOC 70%
8,3,6,3,90.0,0.0,84.1,-5.9,SOC 70%
